Survey Taker: Survey Response,Survey Taker: Created Date,Response,Question Type,Survey Taker: ID,Survey Question: Choices,Survey Question: Survey,Survey Question: Question Title,Survey Score
7230,29/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fg89,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7231,29/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fg9l,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7238,29/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000fhsE,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7246,30/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000gd8H,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7248,30/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000gfRl,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7250,30/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000glAb,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7252,30/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000gmg9,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7253,30/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000gmjN,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7259,31/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000gz8j,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7268,31/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000h0G5,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7270,31/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000h0Pl,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7272,31/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000h0hV,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7281,31/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000h4A1,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7283,31/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000h4Rl,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7284,31/07/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000h4ht,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7295,01/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hDDJ,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7296,01/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hDEv,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7297,01/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hEFp,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7316,01/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hKLF,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7326,02/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hOlU,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7330,02/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hQC9,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7333,02/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hQNR,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7337,02/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hQVV,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7338,02/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hPG8,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7339,02/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hQdZ,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7357,03/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hVQL,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7365,03/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hWSr,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7371,03/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hXFF,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7372,03/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hXIT,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7393,04/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000hmz3,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,0
7402,05/08/2025,0 - < Very Unlikely,Single Select--Vertical,a0eTm000000huIH,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,0
7166,27/07/2025,1,Single Select--Vertical,a0eTm000000f7vC,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,1
7227,29/07/2025,1,Single Select--Vertical,a0eTm000000fehR,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,1
7249,30/07/2025,1,Single Select--Vertical,a0eTm000000gfmj,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,1
7255,30/07/2025,1,Single Select--Vertical,a0eTm000000gnSX,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,1
7263,31/07/2025,1,Single Select--Vertical,a0eTm000000gzgb,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Mercury Bet Chat EN,How likely would you to to recommend Mercury Bet to a friend or colleague?,1
7266,31/07/2025,1,Single Select--Vertical,a0eTm000000gzzx,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,1
7267,31/07/2025,1,Single Select--Vertical,a0eTm000000gzYY,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premierbet Email EN,How likely are you to recommend Premier Bet to a friend or colleague?,1
7382,04/08/2025,1,Single Select--Vertical,a0eTm000000hhT7,"0 - < Very Unlikely
1
2
3
4
5
6
7
8
9
10 - Very Likely >",Premier Bet Chat EN,How likely are you to recommend Premier Bet to a friend or colleague?,1
7099,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000eqr7,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7100,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000eqvx,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premierbet Email EN,How satisfied were you with the Customer Service you received today?,1
7105,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000erFJ,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7107,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000ernB,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7108,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000esUj,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7109,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000esWL,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7112,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000etAf,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7116,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000eucz,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7121,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000evsP,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7123,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000ew3h,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7125,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000ewWj,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7126,25/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000ewi1,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7128,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000ey77,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7131,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f1cr,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7132,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f1eT,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7139,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f2HB,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7143,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f2fN,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7144,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f2gz,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7145,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f2ib,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7146,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f2yj,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7147,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f31x,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7148,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f33Z,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7150,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f3Jh,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7151,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f3TN,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7154,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f3gH,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7158,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f3rZ,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7159,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f49J,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7160,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f4CX,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7164,26/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f4EA,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7171,27/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f8mP,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7177,27/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f9VZ,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7178,27/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000f9k5,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7185,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fG8r,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premierbet Email EN,How satisfied were you with the Customer Service you received today?,1
7188,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fKij,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7197,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fM1N,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premierbet Email EN,How satisfied were you with the Customer Service you received today?,1
7201,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fMfh,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7203,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fMqz,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7208,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fNdN,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7209,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fOO9,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7213,28/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fPfB,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7214,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fWtZ,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7216,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fbwT,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7222,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fcxN,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premierbet Email EN,How satisfied were you with the Customer Service you received today?,1
7227,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fehR,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premierbet Email EN,How satisfied were you with the Customer Service you received today?,1
7229,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fg6X,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7230,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fg89,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7231,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fg9l,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7236,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fhVd,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7237,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fhXF,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7238,29/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000fhsE,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7246,30/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000gd8H,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7248,30/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000gfRl,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7250,30/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000glAb,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Premier Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
7251,30/07/2025,1 - <Not Satisfied,Single Select--Vertical,a0eTm000000gmLB,"1 - <Not Satisfied
2
3
4
5 - Very Satisfied >",Mercury Bet Chat EN,How satisfied were you with the Customer Service you received today?,1
